Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End, BigEnds/Game, StealDefence, ForceEfficiency, StealEfficiency 
Shinya Abe, 32, 21, 11, 0, 0.656, 0.48, 0, 0, 238, 225, 145, 9.45, 6.09, 3.36, 1.32, 0.27, 0.58, 0.94, 5.04, 4.08, 1.88, 1.49, 0.88, 0.18, 0.61, 0.32 
Rob Ainsley, 29, 15, 14, 0, 0.517, 0.33, 0, 0, 208, 152, 140, 7.31, 6.73, 0.58, 1.01, 0.43, 0.46, 0.91, 4.42, 4.28, 1.65, 1.57, 1.30, 0.28, 0.47, 0.29 
Felix Asselin, 45, 36, 9, 0, 0.800, 0.48, 1.0, 0, 329, 311, 166, 9.45, 5.05, 4.41, 1.38, 0.20, 0.53, 0.80, 5.17, 3.37, 1.83, 1.50, 1.46, 0.14, 0.60, 0.34 
Brendan Bottcher, 70, 52, 18, 0, 0.743, 0.46, 1.0, 0.5, 546, 424, 290, 7.77, 5.31, 2.45, 1.15, 0.17, 0.37, 0.93, 4.52, 3.63, 1.72, 1.46, 1.85, 0.13, 0.60, 0.24 
Michael Brunner, 78, 35, 43, 0, 0.449, 0.37, 1.0, 0.0, 577, 395, 416, 6.85, 7.21, -0.36, 1.08, 0.33, 0.28, 1.12, 4.25, 4.51, 1.61, 1.60, 1.25, 0.22, 0.52, 0.19 
Braden Calvert, 45, 26, 19, 0, 0.578, 0.36, 0, 0.0, 298, 229, 205, 7.68, 6.88, 0.81, 1.13, 0.29, 0.40, 1.09, 4.90, 4.19, 1.57, 1.64, 0.91, 0.19, 0.53, 0.30 
Jason Camm, 49, 28, 21, 0, 0.571, 0.43, 1.0, 0, 349, 276, 234, 7.91, 6.70, 1.20, 1.30, 0.30, 0.36, 0.98, 4.61, 4.27, 1.71, 1.57, 1.12, 0.22, 0.54, 0.26 
Reid Carruthers, 90, 48, 42, 0, 0.533, 0.40, 1.0, 0.0, 672, 483, 437, 7.19, 6.50, 0.68, 1.09, 0.23, 0.36, 1.06, 4.43, 4.11, 1.62, 1.58, 1.46, 0.17, 0.50, 0.25 
Alex Champ, 37, 20, 17, 0, 0.541, 0.32, 0, 1.0, 261, 183, 182, 7.01, 6.97, 0.04, 0.94, 0.46, 0.44, 0.96, 4.33, 4.52, 1.62, 1.54, 1.15, 0.32, 0.57, 0.30 
Jim Cotter, 18, 10, 8, 0, 0.556, 0.33, 0, 0, 150, 112, 107, 7.47, 7.13, 0.33, 1.12, 0.32, 0.36, 1.12, 4.60, 4.47, 1.62, 1.60, 0.93, 0.26, 0.49, 0.27 
