Team, GamesPlayed, Wins, Losses, Ties, PCT, HammerEfficiency, ExtraEndHammer, ExtraEndSteal, Ends, PointsFor, PointsAgainst, PointsFor/Game, PointsAgainst/Game, AvgDiff, HammerPF/E, HammerPA/E, NoHammerPF/E, NoHammerPA/E, EndsFor/Game, EndsAgainst/Game, PointsFor/End, PointsAgainst/End, BigEnds/Game, StealDefence, ForceEfficiency, StealEfficiency 
Miia Ahrenberg, 23, 10, 13, 0, 0.435, 0.31, 0.0, 0.5, 189, 140, 174, 7.41, 9.21, -1.80, 0.97, 0.64, 0.45, 1.28, 4.23, 5.13, 1.75, 1.79, 0.63, 0.37, 0.45, 0.27 
Gina Aitken, 4, 0, 4, 0, 0.000, 0.27, 0, 0, 25, 11, 34, 4.40, 13.60, -9.20, 0.91, 0.82, 0.07, 1.79, 3.20, 6.00, 1.38, 2.27, 0.80, 0.36, 0.18, 0.07 
Carla Anaka, 5, 2, 3, 0, 0.400, 0.40, 0, 0, 38, 31, 35, 8.16, 9.21, -1.05, 1.48, 0.19, 0.00, 1.82, 4.47, 5.26, 1.82, 1.75, 0.26, 0.14, 0.47, 0.00 
Sherry Anderson, 9, 6, 3, 0, 0.667, 0.31, 0, 0, 68, 46, 40, 6.76, 5.88, 0.88, 0.79, 0.37, 0.53, 0.87, 4.85, 3.82, 1.39, 1.54, 1.32, 0.24, 0.53, 0.43 
Sherry Anderson, 32, 19, 13, 0, 0.594, 0.34, 0, 0, 255, 208, 162, 8.16, 6.35, 1.80, 1.12, 0.33, 0.53, 0.92, 4.90, 4.27, 1.66, 1.49, 0.82, 0.24, 0.59, 0.33 
Olga Antonova, 4, 0, 4, 0, 0.000, 0.31, 0, 0, 29, 17, 35, 5.86, 12.07, -6.21, 0.93, 0.47, 0.21, 2.00, 3.45, 5.17, 1.70, 2.33, 1.38, 0.27, 0.18, 0.07 
Pam Appelman, 15, 5, 10, 0, 0.333, 0.25, 0, 0, 108, 66, 96, 6.11, 8.89, -2.78, 0.89, 0.56, 0.29, 1.25, 3.89, 5.28, 1.57, 1.68, 0.83, 0.35, 0.51, 0.20 
Lorraine Arguin, 3, 1, 2, 0, 0.333, 0.22, 0, 0, 22, 15, 19, 6.82, 8.64, -1.82, 1.00, 0.67, 0.46, 1.00, 5.45, 4.55, 1.25, 1.90, 0.00, 0.33, 0.29, 0.46 
Mary-Anne Arsenault, 25, 13, 12, 0, 0.520, 0.42, 0, 0, 208, 166, 140, 7.98, 6.73, 1.25, 1.12, 0.31, 0.50, 1.00, 4.76, 4.38, 1.68, 1.54, 0.87, 0.28, 0.48, 0.35 
Hannah Augustin, 18, 11, 7, 0, 0.611, 0.40, 1.0, 0.0, 149, 129, 90, 8.66, 6.04, 2.62, 1.19, 0.29, 0.59, 0.86, 4.97, 3.89, 1.74, 1.55, 1.14, 0.21, 0.55, 0.35 
Cathy Auld, 29, 14, 15, 0, 0.483, 0.34, 0, 0, 212, 167, 161, 7.88, 7.59, 0.28, 1.16, 0.46, 0.42, 1.06, 4.72, 4.81, 1.67, 1.58, 0.47, 0.30, 0.53, 0.30 
Courtney Auld, 4, 2, 2, 0, 0.500, 0.36, 0.0, 0, 31, 21, 20, 6.77, 6.45, 0.32, 1.07, 0.33, 0.31, 0.94, 4.52, 4.52, 1.50, 1.43, 0.97, 0.27, 0.50, 0.25 
Anastasia Babarykina, 9, 2, 7, 0, 0.222, 0.18, 0, 0, 66, 38, 59, 5.76, 8.94, -3.18, 0.69, 0.66, 0.45, 1.16, 3.64, 5.76, 1.58, 1.55, 0.61, 0.49, 0.52, 0.26 
Kelly Backman, 13, 3, 10, 0, 0.231, 0.20, 0, 0, 98, 63, 80, 6.43, 8.16, -1.73, 0.87, 0.62, 0.38, 1.04, 4.18, 5.31, 1.54, 1.54, 0.51, 0.40, 0.58, 0.24 
Ryleigh Bakker, 23, 5, 18, 0, 0.217, 0.18, 0.0, 0, 178, 102, 152, 5.73, 8.54, -2.81, 0.71, 0.72, 0.41, 1.01, 4.10, 5.17, 1.40, 1.65, 0.73, 0.43, 0.59, 0.30 
Heeeun Ban, 4, 0, 4, 0, 0.000, 0.04, 0, 0, 34, 8, 56, 2.35, 16.47, -14.12, 0.35, 1.30, 0.00, 2.36, 1.76, 7.65, 1.33, 2.15, 0.59, 0.74, 0.33, 0.00 
Brett Barber, 49, 22, 27, 0, 0.449, 0.28, 0, 0, 332, 232, 288, 6.99, 8.67, -1.69, 0.89, 0.58, 0.50, 1.17, 4.43, 4.88, 1.58, 1.78, 0.69, 0.36, 0.48, 0.33 
Kylee Barden, 5, 1, 4, 0, 0.200, 0.30, 0, 0, 44, 30, 41, 6.82, 9.32, -2.50, 1.00, 0.52, 0.39, 1.30, 4.32, 5.00, 1.58, 1.86, 0.68, 0.29, 0.38, 0.22 
Penny Barker, 50, 33, 17, 0, 0.660, 0.34, 1.0, 1.0, 414, 318, 266, 7.68, 6.43, 1.26, 1.05, 0.42, 0.52, 0.84, 4.86, 4.23, 1.58, 1.52, 0.92, 0.29, 0.59, 0.37 
Evelina Barone, 37, 22, 15, 0, 0.595, 0.39, 1.0, 0, 308, 261, 218, 8.47, 7.08, 1.40, 1.25, 0.39, 0.49, 0.99, 5.03, 4.45, 1.68, 1.59, 0.52, 0.25, 0.57, 0.33 
Madison Bear, 38, 18, 20, 0, 0.474, 0.35, 0, 0, 298, 233, 231, 7.82, 7.75, 0.07, 1.13, 0.46, 0.45, 1.08, 4.70, 4.56, 1.66, 1.70, 0.74, 0.29, 0.53, 0.31 
Emma Beaulac, 4, 0, 4, 0, 0.000, 0.00, 0, 0, 27, 11, 28, 4.07, 10.37, -6.30, 0.58, 0.75, 0.27, 1.27, 4.07, 5.19, 1.00, 2.00, 0.74, 0.33, 0.50, 0.27 
Adrienne Belliveau, 6, 2, 4, 0, 0.333, 0.39, 0.0, 0, 57, 36, 39, 6.32, 6.84, -0.53, 0.96, 0.52, 0.33, 0.83, 3.86, 4.21, 1.64, 1.63, 1.93, 0.33, 0.47, 0.27 
